city_grp,device,Transaction_Type,payment_mode,package,labelled,retained
Lahore,Android,JazzCash,Manual,Quarterly,4,2
Lahore,Android,JazzCash,Manual,Weekly,217,19
Lahore,Android,JazzCash Checkout,Auto,Half Yearly,63,46
Lahore,Android,JazzCash Checkout,Auto,Monthly,1411,942
Lahore,Android,JazzCash Checkout,Auto,Quarterly,130,89
Lahore,Android,JazzCash Checkout,Auto,Weekly,15568,11602
Lahore,Android,Ufone,Auto,Monthly,161,127
Lahore,Android,Ufone,Auto,Weekly,2101,1675
Lahore,Android,Zindigi,Manual,Monthly,20,0
Lahore,Android,Zindigi,Manual,Weekly,30,1
Lahore,Android,Zong,Auto,Monthly,10,4
Lahore,Android,Zong,Auto,Quarterly,2,1
Lahore,Android,Zong,Auto,Weekly,396,169
Lahore,Unknown,Bill Payment,Manual,Monthly,3,0
Lahore,Unknown,Bill Payment,Manual,Weekly,9,1
Lahore,Unknown,Credit/Debit Card,Manual,Monthly,16,0
Lahore,Unknown,Credit/Debit Card,Manual,Quarterly,1,0
Lahore,Unknown,Credit/Debit Card,Manual,Weekly,21,1
Lahore,Unknown,Easypaisa,Auto,Monthly,46,12
Lahore,Unknown,Easypaisa,Auto,Quarterly,3,3
Lahore,Unknown,Easypaisa,Auto,Weekly,140,81
Lahore,Unknown,JazzCash,Manual,Monthly,8,0
Lahore,Unknown,JazzCash Checkout,Auto,Monthly,15,6
Lahore,Unknown,JazzCash Checkout,Auto,Quarterly,1,1
Lahore,Unknown,JazzCash Checkout,Auto,Weekly,315,248
Lahore,Unknown,JazzWorld,Manual,Monthly,23,2
Lahore,Unknown,JazzWorld,Manual,Weekly,12,4
Lahore,Unknown,Ufone,Auto,Monthly,12,8
Lahore,Unknown,Ufone,Auto,Weekly,10,2
Lahore,Unknown,Zindigi,Manual,Monthly,1,0
Lahore,Unknown,Zong,Auto,Weekly,21,13
Lahore,iOS,Bill Payment,Manual,Half Yearly,7,0
Lahore,iOS,Bill Payment,Manual,Monthly,132,9
Lahore,iOS,Bill Payment,Manual,Quarterly,8,0
Lahore,iOS,Bill Payment,Manual,Weekly,222,13
Lahore,iOS,Coupon,Manual,Monthly,1,0
Lahore,iOS,Credit/Debit Card,Manual,Half Yearly,8,0
Lahore,iOS,Credit/Debit Card,Manual,Monthly,422,35
Lahore,iOS,Credit/Debit Card,Manual,Quarterly,18,1
Lahore,iOS,Credit/Debit Card,Manual,Weekly,544,107
Lahore,iOS,Easypaisa,Auto,Half Yearly,10,8
